userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label,final_label_3class,vader_prediction,afinn_score,afinn_prediction
Kyri J,1,a a long term loyal customer it is clear that seller and aliexpress work together against their customer when problem arisemisleading advert documented verbal abuse from seller when legitimately complaining aliexpress really doe not care to act even after appealswhen you order something your probability of success in return is very low if there is a problem shipping is often not coveredcontact support so we can help is an automated waste of time and endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Cynthia Butler,3,ad said pick 3 free item i picked them then they said it would cost me 800 to recieve them how is that freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Positive,1,Positive
Hans Ko,1,site that dispose off factory defect at attractive price a well a advertised for one thing and shipped you another customer service for return refund are a nightmare a many here have already stated dont fall for this scam site,2026-03-12 09:12:24,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Ben P,1,after using a number of time my last order came broken in transit packaging wa insufficient aliexpress made me jump through hoop after hoop and i had to film and photo an reasonable amount for the application then what they asked for wa unreasonable a long video and photo of the package before it wa opened time and date stamped which showed me opening it and finding the broken item they did not honour the their refund policy wont be using these scammer again avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Tracey Grimm,5,so far i always receive my delivery earlier then stated and never a problem,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral,Neutral,Positive,2,Positive
Emmanuel,2,i login and they keep logging me out and now theyve temporarily suspended all my account,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-1,Negative
Ronnie,1,full of scammer constantly spamming email and push notification dog,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Luis Arroyos,4,working great so far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Delislav Asparuhov,1,too much notification and spam,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Scott Conder,1,seller photo and description are misleading price have gotten too high seller have raised price by 500 on most item not worth it the search algorithm is garbage aliexpress need to govern the seller action better i waste too much time looking for what i want i get frustrated and go to ebay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
philip paranthoiene,4,nb i never give 5 star for anything so 4 star is a maximum i had an issue with a delivery got to my country then disappearedali express were prompt and courteous to deal with it i wa eventually refunded the full amount i have now purchased the same item again,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Positive,2,Positive
parky,1,scammer who refuse to refund you when they make a shipping error in the uk for your own sanity do not choose locker delivery at checkout instead tell evri to deliver to a locker when they send you the email otherwise aliexpress might send your stuff to a different courier who will then be unable to deliver to evris locker and you will be unable to get a refund from these scammer edit contact the help centre what do you think ive been trying to do for the past week,2026-03-07 16:18:37,1,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,-2,Negative
Hjbihb Bjhbihb,1,app crash when i search,2026-03-08 04:26:43,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Marie Barrow,4,great app with great product,2026-03-07 14:57:35,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Juan Roldan,1,sucked too many ad buggy super hard to stop from sending email everything take forever to arrive also you might find a 5 dollar item but with 20 dollar shipping so yeah kinda useless,2026-03-07 20:31:42,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,0,Neutral
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,4,Positive
Marky B,1,dont expect refund avoid or be robbed customer service ai and just sends repetitive reply to any and all complaint avoid they sent a link that doesnt work a a reply too late deleted app all i can do is warn others not to install,2026-03-08 14:32:21,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Zack,1,signed up and it instantly started spamming me uninstalled,2026-03-10 21:40:26,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Alex likes dogs,1,very slowit show gross image no matter what you look upthings like infection or sexual image if an item say delivered and you didnt get it you dont get a refund the page refreshes every time i try to get one so i just cant also ha thing like swastika and l0li the customer service doesnt help and you have to take 50 picture of each item to return it even if you didnt get the item literally no way to get refund do not install,2026-03-11 06:46:07,12,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Captain Traveler,1,the worst company ever see you at the court,2026-03-09 14:48:05,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
GIZMO SATANICO,1,i can not sign in 10003 server or network error,2026-03-12 16:56:00,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,-2,Negative
