userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label,final_label_3class,vader_prediction,afinn_score,afinn_prediction
Kyri J,1,long term loyal customer clear sellers aliexpress work together customers problems arisemisleading adverts documented verbal abuse sellers legitimately complaining aliexpress really not care act even appealswhen order something probability success return low problem shipping often not coveredcontact support help automated waste time endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-8,Negative
Cynthia Butler,3,ad said pick 3 free items picked said would cost 800 recieve freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Positive,1,Positive
Hans Ko,1,site dispose factory defects attractive prices well advertised one thing shipped another customer service return refund nightmare many already stated dont fall scam site,2026-03-12 09:12:24,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Positive,-1,Negative
Ben P,1,using number times last order came broken transit packaging insufficient aliexpress made jump hoop hoop film photo reasonable amount application asked unreasonable long video photos package opened time date stamped showed opening finding broken items not honour refund policy wont using scammer avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral,Neutral,Positive,2,Positive
Emmanuel,2,login keep logging theyve temporarily suspended accounts,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-1,Negative
Ronnie,1,full scammers constantly spamming emails push notifications dogs,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Delislav Asparuhov,1,much notifications spam,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Scott Conder,1,sellers photos descriptions misleading prices gotten high sellers raised prices 500 items not worth search algorithm garbage aliexpress needs govern sellers actions better waste much time looking want get frustrated go ebay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
philip paranthoiene,4,nb never give 5 stars anything 4 stars maximum issue delivery got country disappearedali express prompt courteous deal eventually refunded full amount purchased item,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Positive,2,Positive
parky,1,scammers refuse refund make shipping error uk sanity not choose locker delivery checkout instead tell evri deliver locker send email otherwise aliexpress might send stuff different courier unable deliver evris locker unable get refund scammers edit contact help centre think ive trying past week,2026-03-07 16:18:37,1,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,-2,Negative
Hjbihb Bjhbihb,1,app crashes search,2026-03-08 04:26:43,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Marie Barrow,4,great app great products,2026-03-07 14:57:35,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Juan Roldan,1,sucked many ads buggy super hard stop sending emails everything takes forever arrive also might find 5 dollar item 20 dollar shipping yeah kinda useless,2026-03-07 20:31:42,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,0,Neutral
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,4,Positive
Marky B,1,dont expect refunds avoid robbed customer service ai sends repetitive replies complaints avoid sent link doesnt work reply late deleted app warn others not install,2026-03-08 14:32:21,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Zack,1,signed instantly started spamming uninstalled,2026-03-10 21:40:26,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
