userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label
Kyri J,1,long term loyal customer clear seller aliexpress work together customer problem arisemisleading avert document verbal abuse seller legitimate complaining aliexpress really not care act even appealswhen order something probability success return low problem shipping often not coveredcontact support help automatic waste time endless loop,2026-03-10 09:12:56,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Cynthia Butler,3,ad said pick 3 free item picked said would cost 800 receive freefalse advertising,2026-03-12 17:20:41,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Hans Ko,1,site dispose factory defect attractive price well advertised one thing shipped another customer service return refund nightmare many already stated dont fall scar site,2026-03-12 09:12:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Ben P,1,using number time last order came broken transit packing insufficient aliexpress made jump hood hood film photo reasonable amount application asked unreasonable long video photo package opened time date stamped showed opening finding broken item not honour refund policy wont using summer avoid,2026-03-08 10:17:58,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,labeled_reviews_raw,Neutral,Positive,Negative,Neutral
Emmanuel,2,login keep logging they temporarily suspended account,2026-03-09 20:06:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Ronnie,1,full summer constantly slamming email push ratification dog,2026-03-11 04:56:46,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Delislav Asparuhov,1,much ratification spasm,2026-03-07 21:51:08,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Scott Conder,1,seller photo description misleading price gotten high seller raised price 500 item not worth search algorithm garage aliexpress need govern seller action better waste much time looking want get frustrated go bay instead,2026-03-12 00:27:03,4,labeled_reviews_raw,Negative,Negative,Negative,Negative
philip paranthoiene,4,no never give 5 star anything 4 star maximum issue delivery got country disappearedali express prompt courteous deal eventually refused full amount purchased item,2026-03-11 08:06:57,0,labeled_reviews_raw,Positive,Positive,Negative,Positive
